reference,T5_predict
"ting Veterans Affairs Secretary Robert Wilkie is President Trump's pick to permanently lead the beleaguered department. Wilkie is a former Pentagon undersecretary for personnel and readiness, and a former adviser to GOP Sen. Thom Tillis of North Carolina. He's led the agency for two months, ever since Trump fired David Shulkin amid an internal revolt and questions about his compliance with ethics rules, reports the AP. Wilkie appeared in the White House press briefing room Thursday to accept a check for the amount of Trump's first-quarter salary, which he donated to the agency. Trump revealed his decision during a prison reform event at the White House. Trump previously nominated White House physician Dr. Ronny Jackson for the job, but Jackson withdrew last month. Politico sees Wilkie's path to confirmation as much smoother than Jackson's, though it points out one potential wrinkle: Wilkie was one of three congressional aides present when Trump's campaign supported ditching a provision in the GOP's 2016 platform that called for tough action against Russia. Robert Mueller's team is reportedly looking into that campaign decision.",Wilkie will be the VA’s next permanent leader . NEWLINE_CHAR NEWLINE_CHAR Wilkie is a veteran GOP aide and acting veterans affairs secretary . the president announced his nomination ahead of scheduled remarks at a prison reform summit .
" the election were determined by Twitter, the Democrats would be hard to beat. As night one of the DNC wrapped up, 3 million convention-related tweets had entered the Twitterverse ... compared to the 4 million the GOP racked up over three days last week, reports Mashable. And the tweets were truly flying during Michelle Obama's speech, clocking in at a high of 28,203 tweets-per-minute. Romney's acceptance-speech high last week? 14,289. Meanwhile, the energy level seems to be higher on the ground level, too. Members of the media (including CNN, the Washington Post, and NBC) who found Tampa a drag say the same isn't true in Charlotte, Politico finds. ""Just a huge difference in energy between convention halls,"" wrote Politico's Alexander Burns. ""Makes it easier for non-primetime speakers to sound strong."" But the buzz may be in the eye of the beholder: ""The DNC is VERY low energy, not the vibrant, youth allure of 2008,"" tweeted conservative radio host Laura Ingraham. ""I feel the whiff of death and decay … government is the father figure here.""","NEWLINE_CHAR NEWLINE_CHAR Michelle Obama is killing this speech.. RT @twitchyteam Gag line: ""Being president doesn't change who you are. It reveals who you are."" NEWLINE_CHAR NEWLINE_CHAR Michelle Obama's speech at the Democratic National Convention drove 28,003 tweets-per-minute at its peak ."
"man who ditched work for 24 years has finally lost his job—apparently a sign that India is cracking down on government bureaucrats who avoid office time, Reuters reports. AK Verma, a senior engineer at the Central Public Works Department, last showed up for work in December 1990. The Hindu describes him as being ""on furlough,"" but an inquiry ruled against him in 1992, and delays and inaction ensued for 22 more years until Verma eventually got fired. ""He went on seeking extension of leave, which was not sanctioned, and defied directions to report to work,"" officials said in a statement. Civil servants in India are infamous for showing up late, taking lengthy lunches, and hitting the links during work hours, the Guardian reports. Prime Minister Narendra Modi says he was shocked by bureaucrats' behavior when he took power last year, and has tried cracking down. He's known to play office monitor, showing up in the halls of power unannounced, and now makes civil servants sign in with fingerprint scanners (the results can be seen online). Attendance has gone up since, the Guardian says, and Delhi's main golf course is now mostly empty during the week. (In the US, a worker got in trouble with the boss for using his robot voice on the phone to callers.)",a sacked official of the Central Public Works Department (CPWD) who has been on a furlough for the past 25 years has been dismissed from service . NEWLINE_CHAR NEWLINE_CHAR Verma went on Earned Leave in 1992 . he defied bosses’ orders to return to work after his requests for additional leave were denied .
" you think it takes a liter of water to fill a liter water bottle, the International Bottled Water Association has news for you: It takes more than that. NPR reports on the group's first look at the topic, which found that 1.39 liters (or 47 ounces) are needed to make a one-liter bottle (that's about 34 ounces of water); this includes product water and the water needed for things like cleaning and bottling. It arrived at that figure by asking its members to submit three years of detailed data, touching on factors like total water use and the type of treatment used. Writes IBWA, ""The study represents 14.5 million liters of bottled water production, an impressive 43% of total 2011 United States bottled water consumption."" That figure applies to US and Canadian companies, and a rep for the group actually calls that ""extremely efficient."" NPR explains why: A liter of soda demands 2.02 liters of water, while the same quantity of wine requires 4.74 liters. The IBWA chose to stop there in its calculations, but the truth is that the actual ""water footprint"" is much larger: For instance, oil is needed to make plastic, and drilling for it requires, yep, water—in some cases as much as seven times what the plastic bottle ultimately contains.","NEWLINE_CHAR NEWLINE_CHAR Hogan says water is wasteful . bottled water companies should include the water in their supply chain . bottled water companies should include the water in their supply chain, he says ."
"cture the average American couple in the 1960s. Now picture the average American couple today. Something more than questionable fashion should stand out, according to new data from the CDC, which finds the average weight of a US woman is now 166.2 pounds—about the same weight as the average man in the 1960s—up from about 140 pounds during that time, reports the Washington Post. That's an increase of 18.5%. Men, who weighed 166.3 pounds in the 1960s, now tip the scales at an average of 195.5 pounds, for a 17.6% gain. Is it as bad as it seems? Essentially, yes, though the typical height of men and women has grown by an inch, which at least accounts for something. But the main reasons for our growing bellies are no surprise: Americans are eating more food, but less health food, and are exercising less. The data shows 35% of Americans over 20 are considered obese, while 69% of adults are either overweight or obese, reports CBS Atlanta. As for children, one in five between 12 and 19 and 18% between 6 and 11 are obese. A 2012 study found Americans were the third-heaviest people on the planet behind residents of Tonga and Micronesia. The average American was 33 pounds heavier than a Frenchman, 40 pounds heavier than a citizen of Japan, and 70 pounds heavier than a person in Bangladesh, adds the Post. Dying to get back to that 1960s frame? It's actually more important to watch what you eat rather than exercise constantly, though exercising and eating healthy together is obviously beneficial. The New York Times notes that 30 minutes of jogging achieves the same calorie reduction as cutting back on two 16-ounce sodas. (Click to read why we weigh less on Fridays.)","in the 1960s, the average American woman now weighs 166.2 pounds . NEWLINE_CHAR NEWLINE_CHAR The CDC data shows that both sexes have gained almost an inch in height from 1960 . NEWLINE_CHAR NEWLINE_CHAR The average american is 33 pounds heavier than the average Frenchman . if every country had the same weight distribution as the U.S., the world would be 58 million tons fatter ."
"e father of a soldier killed in Afghanistan in June says he was ""floored"" when President Trump promised to write him a check for $25,000—but it never arrived. Chris Baldridge tells the Washington Post that when Trump called a few weeks after his son, Army Sgt. Dillon Baldridge was killed, he told the president that he and his wife were struggling to deal with the fact that their son and two others were killed by a rogue Afghan police officer instead of in battle. Baldridge, a construction worker in North Carolina, says Trump offered him $25,000 after he complained that his son's $100,000 death benefit would go to his ex-wife instead of his parents, even though he can ""barely rub two nickels"" together. ""He said, 'I'm going to write you a check out of my personal account for $25,000,' and I was just floored,"" Baldridge says. ""He said, 'No other president has ever done something like this.'"" But no check arrived in the following months, and Baldridge says Trump also failed to follow through on a promise to have his staff set up an online fundraiser. CNN reports that when asked about Baldridge's case Wednesday, White House spokeswoman Lindsay Walters said the check ""has been sent."" ""It's disgusting that the media is taking something that should be recognized as a generous and sincere gesture, made privately by the president, and using it to advance the media's biased agenda,"" she said. (Trump is feuding with another Gold Star family.)",": NEWLINE_CHAR NEWLINE_CHAR ""I'm going to write you a check out of my personal account for $25,000,"" a white house spokesperson says . NEWLINE_CHAR NEWLINE_CHAR ""I'm going to write you a check out of my personal account for $25,000,"" the spokesperson says . the white house is dealing with the president stating that presidents don't call all the families killed in action ."
"39-year-old Jacksonville man is in custody in connection with the bomb scare that closed Jacksonville International Airport for five hours, jail records show. Zeljko Causevic has been charged with manufacturing, selling, or delivering a mail hoax bomb, and making a false report about a bomb, the Florida Times-Union reports. He was booked into jail at 1:30am, two and a half hours after the airport reopened, and will make his first court appearance this afternoon at 1pm. The airport was evacuated shortly after 6pm when police found one suspicious package in the terminal and another in a nearby parking garage. A sheriff's office spokesman said one of the packages ""had some destructive nature that it had to be taken offsite"" but did not elaborate, the AP reports. The closure left incoming planeloads of passengers stranded on the tarmac, and has led to the cancellation of more than 20 flights.",": ""We moved from one spot on the runway to another spot"" airport reopening after police found two suspicious packages, one deemed ""destructive"" and had to be deactivated offsite by a bomb squad . airport officials said the airport was evacuated shortly after 6 p.m."
"ick, how many Super Bowls have there been? If you don't know, it's probably because this year's game was promoted as Super Bowl XLVIII—and you'd be forgiven if your Roman numeral skills are rusty. Well, good news, my ancient-number-system-challenged friends: In 2016, the NFL is ditching the letters, ABC News reports. The game's logo will simply say ""Super Bowl 50."" This is a one-time thing, however. ""When we developed the Super Bowl XL logo, that was the first time we looked at the letter 'L,'"" explains the NFL's VP of branding. ""And, at that moment, that's when we started to wonder what will happen when we get to 50?"" After much consideration, the brand team decided that ""Super Bowl L"" would look dumb, and so decided to give us a brief Roman numeral reprieve. It will be the first Super Bowl without Roman numerals since 1970's Super Bowl 4. But 2017's game will be Super Bowl LI, notes NBC Sports.","NEWLINE_CHAR NEWLINE_CHAR The NFL has released the logo for the game . NEWLINE_CHAR NEWLINE_CHAR The league has been using the word ""Super Bowl"" since 1969 . the logo uses the Arabic numeral 50, rather than the Roman numeral L ."
"e top suspect in the brutal killing of a Bangladeshi-American blogger has been apprehended, Reuters reports. Farabi Shafiur Rahman, who was arrested at a bus stop in Dhaka, Bangladesh, has confessed to threatening blogger Avijit Roy, officials say. ""It's a holy duty of Bangalee Muslims to kill Avijit,"" he wrote on Facebook last year, according to police. Farabi was jailed in the past in connection with an Islamic extremist organization; Roy battled extremism in his writings. Farabi was also arrested last year over social media comments backing another blogger's death, though he was released in that case. That blogger, Ahmed Rajib Haider, was similarly hacked to death, CNN reports.",NEWLINE_CHAR NEWLINE_CHAR Roy was killed by machete-wielding assailants on a street . his wife and fellow blogger Rafida Ahmed suffered head injuries and lost a finger . police say the suspect posted photos of the crime scene .
"chael Bay's latest movie is a bit of a shift from Transformers—it's a smaller-budget film based on a true story about bodybuilders who get involved in kidnapping. Critics offer mixed reviews: At Salon, Andrew O'Hehir calls Pain & Gain ""a thoroughly reprehensible and frequently hilarious satire that depicts American life as a circus of stupidity, artificiality, and self-regard."" Bay, he notes, ""sends a clear message to those of us who've been making fun of him: He's been in on the joke the whole time."" ""Compared with Armageddon or the Transformers series,"" this is ""a stripped-down, modest enterprise in which no major American city is reduced to rubble,"" notes AO Scott in the New York Times. It ""leaves you pondering whether you have just seen a monumentally stupid movie or a brilliant movie about the nature and consequences of stupidity."" But ""why choose?"" ""The combination of the words 'Michael Bay' and 'steroids' should be enough to give any moviegoer pause,"" observes Liam Lacey in the Globe and Mail. The film ""plays like Goodfellas as performed by the Three Stooges. As a genre-mashing exercise it’s almost interesting, but, really, why bother?"" ""Pain & Gain is arguably too much of everything—everyone jabbers on incessantly, and the movie is in love with its own outrageousness,"" writes Joe Neumaier in the New York Daily News. ""But its biggest lift comes from the pumped-up (Mark) Wahlberg and (Dwayne) Johnson. They manage to find the humanity in all the adrenalized muscle.""",",,,,,,,,,, a jerk, and a pigeon-chested blowhard,,,, a 'stupid' saga,,,,, a self-pitying sense of entitlement that is both democratic and Nietzschean. he wants to be,,,,,,,, and a"
"esident Obama didn't mince words today when asked at his end-of-the-year news conference about Sony Pictures: ""Yes, I think they made a mistake,"" he said of the company's decision to pull the movie The Interview, reports NBC News. ""We cannot have a society in which some dictator someplace can start imposing censorship in the United States,"" he said. Obama added that he was ""sympathetic"" to Sony's concerns as a corporation, but he said the precedent set over a ""satirical movie"" is a terrible one. ""I wish they would have spoken to me first."" Of the hackers: ""They caused a lot of damage, and we will respond."" Of the movie's star, Seth Rogen: ""I love Seth."" Other topics: Black America: It is better off ""in the aggregate"" than when he came into office, said Obama, but work remains. He spoke of a ""growing awareness"" that law enforcement isn't always ""applied in a colorblind fashion."" Cuba: ""Change is going to come to Cuba. It has to."" Fidel: Obama said that when he was on the phone to President Raul Castro about renewing relations, he apologized for talking at length. Castro replied that his famous brother once spoke for seven hours' straight and that Obama was a young man who still had a chance to beat that record. 'Resurgence': Obama opened the news conference by ticking off improvements in the economy, job creation, and health care, and asserted that ""America's resurgence is real. We are better off."" Congress: Obama said he ""sincerely"" wants to work with the new Congress, citing areas such as simplifying the tax code, boosting US exports, and rebuilding infrastructure, reports CNN. Keystone: Construction of the pipeline from Canada would create some jobs, but the pipeline in general would not make ""even a nominal"" difference for US consumers.","NEWLINE_CHAR NEWLINE_CHAR NEWLINE_CHAR You can add location information to your Tweets, such as your city or precise location, from the web and via third-party applications. Learn more Obama says because of Ferguson & Eric Garner there is ""growing awareness"" that law enforcement not always applied in ""colorblind fashion"""
"e, this is why all those Twitter profiles are sure to note that retweets do not equal endorsements. CBS News reports the Pentagon's official Twitter account on Thursday retweeted a tweet calling for President Trump's resignation. ""GOP: Stop making sexual assault a partisan issue,"" tweeted ""Proud Resister"" while calling for Roy Moore, Sen. Al Franken, and Trump to all resign or step aside due to allegations of sexual misconduct. The tweet was retweeted—and then soon deleted—by the Department of Defense Twitter account. According to Politico, Pentagon spokesperson Col. Rob Manning confirmed the retweet was made by the ""authorized operator"" of the department's Twitter account. In her own tweet, Pentagon spokesperson Dana White said the call for Trump's resignation was ""erroneously retweeted"" and contained ""content that would not be endorsed by the Department of Defense.""","retweeted content that would not be endorsed by the Department of Defense . NEWLINE_CHAR NEWLINE_CHAR Twitter retweeted a tweet from the account ""Proud Resister"" . NEWLINE_CHAR NEWLINE_CHAR Twitter retweeted a tweet saying president Trump should resign ."
"sh Limbaugh may be bleeding sponsors—one count now has the number fleeing his show up to 98—because of his ""slut"" comment, but Saturday Night Live had some suggestions last night about who might fill the advertising void. A few of the highlights, as per Mediaite: Misaki Dolphin Poppers: ""Start your day off right, with bits of dolphin."" Depends for Racists: ""If you pee a little every time you see a Mexican, you need Depends for Racists."" Schoder's fake rape whistles: ""Help is not on the way."" Syria Tourism Board: Because, ""Ah! No! There's nowhere to hide!""","NEWLINE_CHAR NEWLINE_CHAR Radio-Info.com reported on Friday that 98 advertisers have told Premiere Radio Networks . they want to avoid advertising on Limbaugh's show with content ""deemed to be offensive or controversial"" NEWLINE_CHAR NEWLINE_CHAR The list includes carmakers (Ford, GM, Toyota), insurance companies (Allstate, Geico, Prudential, State Farm) and restaurants (McDonald's, Subway). NEWLINE_CHAR NEWLINE_CHAR Advertise"
"rnes & Noble's Nook e-reader is quite popular—but apparently, just the WiFi-only version. The bookseller is discontinuing the model with 3G, reports Engadget, and apparently will continue sales only until the current stock runs out. The move makes sense, writes Will Shanklin on AndroidCentral.com: Because e-readers require data connections only when the user is downloading books or syncing, ""it makes perfect sense that more customers opt for a cheaper wi-fi model."" But CNET cautions that other so-called scoops about the Nook turned out to be false.","rumor that Barnes & Noble is phasing out the Nook 3G is coming . NEWLINE_CHAR NEWLINE_CHAR Engadget says that Barnes & Noble is phasing out the Nook 3G . rumors are rumoured to be a slice, nook 3G ."
" now, everyone should know not to get too close to hippos in the wild or in captivity, but a California man didn't get the memo. Officials at the Los Angeles Zoo tell the Los Angeles Times they've recruited the LAPD to help look for a most unusual sort of trespasser: a man caught on tape scaling a barrier and slapping one of two hippos in the pen below. The now-viral video, recorded from the other side of the enclosure by what sounds to be a young woman, shows the man slowly climbing over a railing, then reaching down to slap the butt of 4-year-old Rosie, who appeared to be snacking alongside her mother, Mara. Mara looks up briefly, and the person shooting the video can be heard giggling as the man lifts his arms up in an apparent victory stretch and runs off. But zoo officials warn that what happened was anything but funny. ""Any unauthorized interaction with an animal is unsafe for the animal and potentially unsafe for the patron,"" a zoo spokeswoman says, noting something like this also breaks down the animals' trust that zookeepers have worked so hard to instill. The BBC notes hippos are responsible for more human deaths in Africa than any other big animal. The suspect could be hit with a misdemeanor charge or other infraction—California law bars anyone from climbing into zoo enclosures—but the case is being investigated as a trespassing violation, not an animal cruelty one, as the animals didn't seem particularly fazed by the incident.",". that were originally intended by a page's authors.s. to fix all broken links on the web.. to fix all broken links on the web. Alexa Internet has been donating their crawl data to the Wayback Machine... data. to... to the Wayback Machine... to your Tweets. Learn more to the to otherwise be broken, or...."
"Texas inmate who escaped from prison nearly 16 years ago has been caught in Mexico, reports the Houston Chronicle. Juan Salaz, a 37-year-old US citizen, climbed a 16-foot fence outside a San Antonio prison in 1997 and made his way to a new life in Mexico. It's not clear how he got caught, but authorities in both countries were on the case. Salaz was serving a 35-year sentence for, among other things, trying to kill a police officer, reports Fox News. His capture leaves Texas with one remaining fugitive inmate: Convicted murderer Jose Fernando Bustos-Diaz, 24, busted out in 2010.","escaped on March 22, 1997 from the Garza East prison in Beeville, south Texas . NEWLINE_CHAR NEWLINE_CHAR Salaz was captured last week . he is serving three concurrent 35 years for aggravated kidnapping with a deadly weapon . he was serving two concurrent 35-year sentences for attempted capital murder of a police officer ."
"ward Stern goes back a ways with President Trump, who has been a regular guest on his show for decades. On Thursday, Stern generated headlines for voicing a concern about the man he considers a friend: Becoming president ""is something that is gonna be detrimental to his mental health, too, because, he wants to be liked, he wants to be loved,"" Stern said, per Entertainment Weekly. ""All of this hatred and stuff directed towards him. It's not good for him. It's not good."" Also of note: Stern says he thinks Trump ran only as a contract ploy. ""I think it started out as like a kinda cool, fun thing to do in order to get a couple more bucks out of NBC for The Apprentice, I actually do believe that,"" Stern said, per CNN. He added that Trump always liked Hillary Clinton and thinks the ""new Donald Trump"" merely latched onto a conservative base because it was the most effective route to victory. “I don’t believe that, for example now, that he’s had some sort of rethink on abortion and all this."" No response, at least yet, from Trump himself.",Stern said he doesn't think running the country is going to be a healthy experience . NEWLINE_CHAR NEWLINE_CHAR Stern said he doesn't think it's going to be a healthy experience . Stern said he doesn't think running the country is going to be a healthy experience .
"ank Lucas only looks like he won an Oklahoma congressional primary by a landslide, according to a contender who got thumped at the polls. Tim Murray says he'll contest the primary because Lucas was actually hanged in Ukraine and replaced with a body double, THV 11 reports. ""It is widely known"" that Lucas ""is no longer alive and has been displayed by a look alike,"" Murray writes on his website. ""Rep. Lucas’ look alike was depicted as sentenced on a white stage in southern Ukraine on or about Jan. 11, 2011."" But he doesn't stop there: ""I am contesting that this matter has happen [sic] since his election was blocked, because of the US Defense Department’s use of Mr. Murray’s DNA. ... Congress is likely wanting me to state that all my DNA used will not result in benefits to people I have never had relations with of a family nature."" Murray's reaction? ""It does come as kind of a shock to read that you’re not you,"" he told KFOR. ""I’ve never been to Ukraine."" The GOP congressman even had a rep say that he's not dead and hasn't been to Ukraine, the Washington Post reports. At least one analyst isn't too surprised: ""A lot of stupid things happen in Oklahoma politics,"" said Keith Gaddie of the University of Oklahoma. ""But this may be the stupidest I've ever heard. Welcome to Oklahoma."" Murray—who won 5.2% of the vote to Lucas' 82.8%—has until today to officially contest the primary.",",,,,,,,,,,,, he's a Republican, and he's a Republican., but he's not buying that this guy is the real deal. NEWLINE_CHAR NEWLINE_CHAR Murray says he doesn't feel Lucas is qualified for office."
" might have been the most famous American in North Korea. But now James ""Joe"" Dresnok, a US soldier who defected after fighting in the Korean War, is dead, reports the Guardian. His two Korean-born sons made the news public in a government video, saying their father had suffered a stroke and died at age 74. Dresnok was one of a few American soldiers to cross into North Korea in 1962, and he went on to star in propaganda films, generally as the evil American. The BBC made a documentary about him in 2006 called Crossing the Line in which he said he had no regrets about his defection. ""I wouldn't trade it for nothin,'"" the native of Richmond, Va., says in the video. (The film is on YouTube. CBS' 60 Minutes also did a feature on Dresnok, which can be seen here.) The few other Americans who defected are believed to have died or left the country. Dresnok, who crossed a minefield into the North, had faced a court-martial for leaving his base without permission for a night on the town. ""I was fed up with my childhood, my marriage, my military life, everything,"" he said. Sons Ted and James Dresnok, aka Hong Soon-chol and Hong Chol, spoke of their father in the new state video. ""Our father was in the arms of the republic and received only the love and care of the party until his passing at age 74,"" said Ted Dresnok. Though half-American himself, Ted Dresnok showed where his loyalties lie, warning that if war breaks out, ""we will not miss the opportunity and wipe the land of the US from the earth for ever."" His brother had a similar sentiment, saying: ""We have our dear supreme commander Kim Jong Un. If he is by our side, our victory is certain."" (You can see the two of them in this video from about a year ago.)",NEWLINE_CHAR NEWLINE_CHAR The sons of an American defector to North Korea appear in a video scolding the U.S. and saying american troops should leave South Korea . NEWLINE_CHAR NEWLINE_CHAR The sons of an American defector to North Korea appear in a video scolding the U.S.
"turn's moon Titan, which happens to be larger than the planet Mercury, is cold. Very cold. As in -290 degrees Fahrenheit is not out of the ordinary. These super low temps, combined with an atmosphere roughly 1.5 times as dense as Earth's, have resulted in a few extraordinary bodies of liquid methane and ethane, reports Extreme Tech, and scientists are anxious to explore their depths. (In fact, Titan is the only body aside from Earth to boast liquid lakes on its surface.) So NASA is working up a (very early) model of a submarine drone that could do just that—one that CNET reports will likely be nuclear-powered, weigh a ton, and come equipped with a seafloor camera, sampling system, and other fancy futuristic robotic accoutrements. But don't get too excited just yet. First, this is a fully automated mission: ""Even if it were possible for humans to go swimming in Titan's seas,"" notes CNET, it ""would be something like swimming in a freezing ocean of liquefied natural gas."" Hence, NASA's goal of sending the ""highly capable science craft"" to Titan's largest sea, Kraken Mare, around the year 2040, in what it calls ""an unprecedented planetary exploration mission."" Many details remain to be sorted out, including how to get the craft to Titan (Boeing's X-37 is a possibility), how to land it (parachute drop), and while there, how to communicate with Earthlings (planar phased-array antenna). (Something else on Titan has been stumping NASA.)","Titan Submarine Phase I Conceptual Design could reach Titan around 2040 . NEWLINE_CHAR NEWLINE_CHAR Clearly, this is a mission meant for a drone . the sub could be used to study the moon's water, weather, shoreline, disappearing islands ."
"chaeologists think they've found the first evidence of prisoners trying to dig their way out of a Nazi death camp. The find comes after more than a decade of excavations at the Sobibor camp in Poland; Nazis leveled the place after its prisoners revolted in 1943, LiveScience explains. In the course of their work, the team last month ""came across two rows of barbed wire,"" one archaeologist tells the Telegraph. ""Digging down we found the traces of the tunnel. It was about as wide as a human, and we were 99% certain that it was an escape tunnel."" The tunnel, found 5 feet below ground, runs an astonishing 32 feet, from under where one of the barracks once stood to the other side of the barbed wire. The Telegraph explains that the barracks in question would have housed the sonderkommando: prisoners tasked with bringing victims to—and bodies out of—the gas chambers. Having avoided an immediate death, archaeologists speculate they would have had time to work on the tunnel. There's no evidence of whether it was actually used.","a passageway, spanning 32 feet (10 m) and reaching beyond the barbed-wire border . NEWLINE_CHAR NEWLINE_CHAR The tunnel's discovery provides the first physical evidence of prisoners trying to dig their way out of a camp . the tunnel's discovery provides the first physical evidence of prisoners trying to dig their way out of a camp ."
"pretty dismal number on today's jobs report: Just 74,000 jobs were created in December, the smallest monthly increase in three years; economists had expected 200,000. And while the unemployment rate fell to 6.7% from 7.0%, it was ""for all the wrong reasons,"" writes Steven Russolillo at the Wall Street Journal. Specifically, the big drop can be explained by the fact that the participation rate fell to a new low of 62.8%, meaning fewer people were looking for work. The AP reports that cold weather could have played a role in the poor numbers, noting that construction firms cut 16,000 jobs—the largest drop in 20 months. One silver lining from the report: November's new jobs were revised upward to 241,000 from 203,000. And Russolillo writes that the same could happen here. ""Something doesn’t smell right. This jobs number is so far out of whack from the recent economic data that have come out. Jobs data have been getting stronger for months, not to mention improvements in growth, housing, and manufacturing figures. Don't be surprised if this report gets revised higher in the coming months.""","a month, the lowest in three years. NEWLINE_CHAR NEWLINE_CHAR . Labor says December jobs gains were much lower than expected as the year ended . NEWLINE_CHAR NEWLINE_CHAR NewLINE_CHAR . Labor says the unemployment rate fell from 7 percent in November to 6.7% ."
"om the White House to the Big Brother house: Omarosa Manigault, who rose to fame on The Apprentice before a year in President Trump's White House, will return to her reality TV roots with a stint on Celebrity Big Brother, the first celebrity edition of the long-running CBS show. The new season, running from Feb. 7-25, will see 11 celebrities locked in a house as they battle for $250,000. Though Manigault is ""the biggest name in the new cast,"" per the Hollywood Reporter, she'll be joined by other familiar names including Sugar Ray lead singer Mark McGrath, American Pie actress Shannon Elizabeth, and former UFC fighter Chuck Liddell. Rounding out the cast is Brandi Glanville of The Real Housewives of Beverly Hills, former Cosby Show actress Keshia Knight Pulliam, former NBA star Metta World Peace, Marissa Winokur of Broadway musical Hairspray, former Nickelodeon star James Maslow, TV personality Ross Matthews, and former Miss Colombia Ariadna Gutierrez. Still, it's Manigault who's created the most buzz, with fans hoping she'll dish about her time in the White House while monitored 24/7 by cameras and microphones. Big Brother fan Andy Cohen, however, predicts Manigault won't be around for long. ""Brandi is going to eat her for lunch,"" he says in a tweet, per Us Weekly.",NEWLINE_CHAR NEWLINE_CHAR “I had the stank eye going reading this list until I got to Omarosa. ? NEWLINE_CHAR NEWLINE_CHAR “I had the stank eye going reading this list until I got to Omarosa. ? NEWLINE_CHAR NEWLINE_CHAR “I had the stank eye going reading this list until I got to Omarosa. ? I’m not the only one. #BBCeleb #whatashame
"dy Gaga's new album has had insane sales, but apparently not in Lebanon, the Sun reports. The Middle Eastern country banned Born This Way from its stores and impounded a shipment of the album. The government, which had already banned her song ""Judas"" from the radio, reportedly finds the album ""offensive to Christianity"" and in ""bad taste."" Click for more, including another country that isn't a Gaga fan; or click to watch her ""Judas"" video.","'Born This Way' was banned from the airwaves . the singer's recent single, 'Judas,' was also banned from Lebanon's radio stations . the government of lebanese government has banned the album from the country's stores ."
"ere's a new addition to the Anne Hathaway-Adam Shulman household, and his name is Jonathan Rosebanks Shulman, E! News reports. The 33-year-old actress gave birth to her first child on March 24 in Los Angeles, as confirmed by Hathaway's rep. ""The baby is extremely healthy and is surrounded by friends and family in LA,"" a source says. ""Anne and Adam are ecstatic to be parents."" And Twitter was apparently ecstatic that the couple went ""traditional"" with the baby's moniker, per the Mirror, with one commenter noting, ""Shout out to Anne Hathaway for giving her baby a normal name!"" Us notes that Hathaway had expressed her desire to be a mom since the age of 16, saying in 2012, ""Look, I'll start with one healthy kid, but I'd like to have a few naturally and adopt. … I'd like to have as many as I can afford, not just financially but in terms of time, because you want to make sure each one feels special."" (Long before she became a mom, Hathaway was laughing it up with Jon Stewart.)","NEWLINE_CHAR NEWLINE_CHAR NewLINE_CHAR NewLINE_CHAR NewLINE_CHAR . Anne Hathaway and her husband, Adam Shulman, have welcomed their first child together . the couple married in 2012 and have a baby boy ."
"'s OK now, but a toddler in China went 10 days with part of a chopstick in his brain. It seems young Hanhang tripped and fell with the chopstick in his hand, and it went straight up his nose, according to a report by Central European News spotted by Fox. His parents saw it happen, removed the chopstick—or so they thought—and took him to the hospital to be safe. Unfortunately, doctors sent him home without realizing that about 2 inches of the chopstick had broken off and was still inside. “When we got home after our first visit to the hospital, my husband broke all the chopsticks in half and threw them away as we were worried something like this could happen again,” says his mother, Yu Liao. When the boy grew increasingly lethargic and sick, his parents brought him back, and only then did an X-ray reveal the reason. Hanhang showed immediate improvement once it was removed. The Mommy Files blog at the San Francisco Chronicle rounds up two similar stories and concludes, ""Note to parents: Chopsticks are to only be handled by children sitting at the dinner table."" (The X-ray calls to mind another strange case, this one involving a nail gun.)","NEWLINE_CHAR NEWLINE_CHAR Hanhang began vomiting and showing signs of drowsiness . NEWLINE_CHAR NEWLINE_CHAR “We were beside ourselves with worry,” his mom said . NEWLINE_CHAR NEWLINE_CHAR “But we had no idea there was still one inside of his head” ."
"Texas woman passed out at a red light, awoke as her husband tried to rouse her, then drove off dragging him along outside the car, KDAF-TV reports. Police suspect 50-year-old Mary Jane Lane (yes, her real name) passed out while under the influence of prescription drugs at the stop light. Her husband exited the SUV from the passenger side, opened her door, and tried to undo her safety belt, presumably so he could take over driving. That’s when she “came to” and hit the gas. The husband got dragged along but eventually fell from the car, receiving head and leg injuries. Lane kept on driving, police report. They arrested her later for something called intoxication assault, notes the Dallas Morning News, but the charge was reduced to driving while intoxicated. Now, she’s in a Dallas jail on a $20,000 bond; her husband’s condition isn’t known.","Lane, 50, was driving west on Northwest Highway in Dallas . she passed out and ran over her husband when he got out of the car . she pressed the accelerator, snagging her husband in the door . she fled the scene, in violation of a law that requires a motorist to stop and render aid ."
